"Nome","Cognome","Grado","Ruolo","Stato","Abilitato","Ore Totali","N. Servizi","N. Sanzioni","N. Richiami","Data Ingresso","Discord ID"
"Marco","Rossi","Primario","","Attivo","Sì","94.7","56","0","1","",""
"Tanjiro","Kamado","Medico in Prova","","Attivo","No","0.0","0","0","0","",""
"Lola","Cruz","Medico in Prova","","Attivo","No","0.0","0","0","0","",""
"Leonardo","Pardoso","Medico in Prova","","Attivo","Sì","1.4","1","0","0","",""
"Jim","Milton","Medico in Prova","","Attivo","Sì","0.0","0","0","0","",""
"Simone","Kazuto","Medico in Prova","","Attivo","Sì","0.6","2","0","0","",""
"Antonio","Sannita","Medico in Prova","","Attivo","Sì","5.0","4","0","0","",""
"Alexander","Mahone","Medico Assistente","","Attivo","Sì","9.9","5","0","0","",""
"Leonardo","Cagliato","Medico Assistente","","Attivo","Sì","2.6","2","0","1","",""
"Tommy","Yummy","Medico Assistente","","Attivo","Sì","20.2","9","0","0","",""
"Stick","Bom","Medico Assistente","","Attivo","Sì","2.7","6","0","0","",""
"Massimiliano","minnocci","Medico Assistente","","Licenziato","Sì","10.7","9","0","1","",""
"Stefano","Ceriani","Primario","","Attivo","Sì","183.7","6","0","0","",""
"Marco","Parker","Medico Assistente","","Attivo","Sì","8.9","10","0","1","",""
"Vincenzo","Esposito","Primario","","Attivo","Sì","3.8","5","0","1","",""
"Valerio","Busico","Medico Assistente","","Attivo","Sì","6.3","5","0","1","",""
"Kona","Shiro","Medico Specialista","","Attivo","Sì","0.0","0","0","0","",""
"Spoke","Kazuto","Medico Specialista","","Attivo","Sì","0.0","0","0","0","",""
"Francy","Slime","Direttore Sanitario","","Attivo","Sì","0.0","0","0","0","",""
